         172648 function calls (172434 primitive calls) in 1956.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1954.698 1954.698 1954.699 1954.699 {built-in method exec}
       88    0.000    0.000    1.222    0.014 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:646(__exit__)
    89/88    0.001    0.000    1.211    0.014 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1058(join)
    89/88    0.010    0.000    1.207    0.014 {method 'join' of '_thread._ThreadHandle' objects}
    89/84    0.000    0.000    1.195    0.014 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
    89/84    0.013    0.000    1.195    0.014 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1027(_bootstrap_inner)
        1    0.000    0.000    1.086    1.086 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\update_manager.py:42(check_for_updates)
        1    0.000    0.000    1.056    1.056 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:837(shutdown)
        1    0.000    0.000    1.056    1.056 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
        1    0.000    0.000    1.056    1.056 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:549(join_executor_internals)
        1    0.000    0.000    1.056    1.056 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:553(_join_executor_internals)
        1    0.000    0.000    0.989    0.989 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
        4    0.000    0.000    0.989    0.247 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
        1    0.000    0.000    0.989    0.989 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:212(_finalize_join)
        5    0.000    0.000    0.981    0.196 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
       10    0.000    0.000    0.980    0.098 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
       10    0.000    0.000    0.980    0.098 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
       14    0.979    0.070    0.979    0.070 {built-in method _winapi.WaitForMultipleObjects}
        1    0.001    0.001    0.588    0.588 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\main.py:206(__init__)
        1    0.000    0.000    0.475    0.475 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\main.py:444(_initUi)
        6    0.458    0.076    0.461    0.077 {built-in method show}
        1    0.003    0.003    0.460    0.460 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\uic\qtpy\windows\main.py:15(setupUi)
        4    0.000    0.000    0.439    0.110 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\widgets\main_widgets.py:85(__init__)
        4    0.027    0.007    0.432    0.108 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\uic\qtpy\widgets\resource_list.py:15(setupUi)
        4    0.001    0.000    0.403    0.101 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\treeview.py:26(__init__)
        5    0.000    0.000    0.402    0.080 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:22(__init__)
        9    0.000    0.000    0.402    0.045 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:60(_fix_drawer_button)
       87    0.001    0.000    0.164    0.002 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\loggerplus\__init__.py:636(_log)
       84    0.001    0.000    0.160    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1500(debug)
       87    0.001    0.000    0.160    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:220(shutdown)
       87    0.001    0.000    0.129    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:70(_worker)
       87    0.000    0.000    0.127    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:54(run)
    88/84    0.000    0.000    0.127    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:983(run)
       87    0.000    0.000    0.126    0.001 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\loggerplus\__init__.py:649(logging_task)
       87    0.000    0.000    0.125    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1643(_log)
       87    0.001    0.000    0.124    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1669(handle)
       87    0.000    0.000    0.110    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1728(callHandlers)
      177    0.001    0.000    0.110    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1011(handle)
      177    0.001    0.000    0.105    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1139(emit)
       90    0.000    0.000    0.104    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\handlers.py:71(emit)
       90    0.000    0.000    0.101    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1251(emit)
      177    0.000    0.000    0.099    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1131(flush)
      177    0.098    0.001    0.098    0.001 {method 'flush' of '_io.TextIOWrapper' objects}
        7    0.000    0.000    0.067    0.010 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\popen_spawn_win32.py:105(wait)
        2    0.000    0.000    0.067    0.033 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\process.py:142(join)
        7    0.067    0.010    0.067    0.010 {built-in method _winapi.WaitForSingleObject}
        1    0.003    0.003    0.064    0.064 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\main.py:485(_setup_signals)
        1    0.025    0.025    0.047    0.047 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\common\style\theme_manager.py:48(get_available_themes)
     12/6    0.000    0.000    0.027    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
     12/6    0.000    0.000    0.027    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     11/9    0.000    0.000    0.022    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
        1    0.000    0.000    0.022    0.022 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\main.py:1656(unset_installation)
     11/9    0.000    0.000    0.021    0.002 <frozen importlib._bootstrap_external>:1020(exec_module)
   126106    0.021    0.000    0.021    0.000 {method 'lower' of 'str' objects}
       11    0.000    0.000    0.020    0.002 <frozen importlib._bootstrap_external>:1093(get_code)
    36/16    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.000    0.000    0.012    0.006 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:408(add_done_callback)
       87    0.000    0.000    0.012    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:165(submit)
      5/3    0.000    0.000    0.012    0.004 {built-in method builtins.__import__}
        8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1238(_cache_bytecode)
        8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1243(set_data)
        8    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:200(_write_atomic)
        1    0.000    0.000    0.008    0.008 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\widgets\main_widgets.py:603(__init__)
      544    0.002    0.000    0.008    0.000 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\qtpy\_utils.py:105(add_action)
        5    0.008    0.002    0.008    0.002 {built-in method addTab}
        1    0.000    0.000    0.008    0.008 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\update_manager.py:95(on_edge_future_fetched)
       87    0.000    0.000    0.006    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\thread.py:184(_adjust_thread_count)
        2    0.000    0.000    0.006    0.003 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:749(_adjust_process_count)
        2    0.000    0.000    0.006    0.003 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:772(_spawn_process)
        8    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1085(source_to_code)
        8    0.006    0.001    0.006    0.001 {built-in method builtins.compile}
    89/87    0.000    0.000    0.006    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:955(start)
        2    0.000    0.000    0.006    0.003 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\process.py:110(start)
        2    0.000    0.000    0.006    0.003 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\context.py:334(_Popen)
    89/87    0.000    0.000    0.005    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
  178/168    0.001    0.000    0.005    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
        3    0.000    0.000    0.005    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1512(info)
       12    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      625    0.005    0.000    0.005    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
      544    0.005    0.000    0.005    0.000 {addAction}
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      177    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.004    0.004 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\update_manager.py:79(on_master_future_fetched)
      267    0.001    0.000    0.004    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:699(format)
       16    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     11/9    0.000    0.000    0.004    0.000 {built-in method builtins.exec}
       89    0.004    0.000    0.004    0.000 {built-in method _thread.start_joinable_thread}
        8    0.004    0.000    0.004    0.000 {built-in method nt.replace}
      180    0.000    0.000    0.004    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:988(format)
        2    0.000    0.000    0.004    0.002 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\popen_spawn_win32.py:46(__init__)
       87    0.000    0.000    0.003    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1628(makeRecord)
       87    0.001    0.000    0.003    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:298(__init__)
       90    0.000    0.000    0.003    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\handlers.py:189(shouldRollover)
        1    0.000    0.000    0.003    0.003 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\uic\qtpy\widgets\texture_list.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\update_manager.py:111(_on_update_info_fetched)
       92    0.003    0.000    0.003    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.003    0.003 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\common\style\theme_manager.py:2884(_apply_theme_and_style)
  817/676    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
        2    0.003    0.001    0.003    0.001 {built-in method _winapi.CreateProcess}
        8    0.003    0.000    0.003    0.000 {method 'write' of '_io.FileIO' objects}
        6    0.003    0.000    0.003    0.000 {connectSlotsByName}
        2    0.000    0.000    0.002    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:783(submit)
        1    0.000    0.000    0.002    0.002 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\common\style\theme_manager.py:2813(_get_theme_config)
        1    0.000    0.000    0.002    0.002 C:\Users\boden\AppData\Local\uv\cache\archive-v0\RSh4KL6n9prx4qCLVsl9O\Lib\site-packages\toolset\gui\windows\main.py:1298(showEvent)
       74    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      180    0.000    0.000    0.002    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:631(formatTime)
