         149390994 function calls (147226193 primitive calls) in 218.016 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   14.435   14.435  215.163  215.163 {built-in method exec}
      173    0.003    0.000  165.758    0.958 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
8029/2783   14.700    0.002  154.933    0.056 {built-in method _winapi.WaitForMultipleObjects}
6636/1976    0.148    0.000  144.284    0.073 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
6636/1976    0.048    0.000  141.800    0.072 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
        2    0.000    0.000  141.761   70.880 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
        3    0.001    0.000  141.358   47.119 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
        7    0.000    0.000  141.341   20.192 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
        2    0.000    0.000  141.266   70.633 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:212(_finalize_join)
        1    0.002    0.002  138.050  138.050 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:505(terminate_broken)
        1    0.000    0.000  138.048  138.048 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:458(_terminate_broken)
        1    0.000    0.000  138.034  138.034 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:159(_terminate_broken)
1595/1567    0.249    0.000   65.502    0.042 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:182(send_bytes)
      682    0.017    0.000   53.142    0.078 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\module.py:294(paintGL)
      676    0.247    0.000   51.200    0.076 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:127(render)
     9606    3.984    0.000   43.362    0.005 {built-in method repaint}
    97604    0.248    0.000   40.884    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:277(_render_object)
    98696    0.055    0.000   36.333    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:41(draw)
2085443/98696    1.645    0.000   35.786    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:214(draw)
   730958    7.818    0.000   35.040    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:289(draw)
        1    0.000    0.000   32.656   32.656 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\module_designer.py:219(<lambda>)
5510/5160   65.905    0.012   30.731    0.006 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\module.py:344(loop)
     1467    0.159    0.000   28.293    0.019 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\common\module.py:1863(resource)
      844    0.006    0.000   27.661    0.033 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:449(__init__)
      844    0.005    0.000   23.908    0.028 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:603(reload)
1595/1567    0.767    0.000   23.382    0.015 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:284(_send_bytes)
   339679    1.550    0.000   21.667    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:80(__init__)
      844    0.023    0.000   20.168    0.024 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:207(resources)
