         93635441 function calls (88013043 primitive calls) in 490.187 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
5114/3613    3.270    0.001  674.354    0.187 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
6910/4540    4.077    0.001  397.686    0.088 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:180(get)
9750/6675    2.067    0.000  388.226    0.058 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
      286    0.002    0.000  144.754    0.506 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
61477/286   11.001    0.000  134.197    0.469 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
    66053    1.858    0.000   57.656    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:828(accept_directory)
   447670    2.808    0.000   55.853    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:60(glob_matches_path)
5135724/447670   17.737    0.000   50.903    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:28(_check_matches)
1597/1596   29.653    0.019   34.834    0.022 {built-in method time.sleep}
        1    0.004    0.004   24.940   24.940 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:949(change_active_installation)
        5    0.001    0.000   24.655    4.931 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:181(set_sections)
        1    0.000    0.000   24.593   24.593 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1616(refresh_saves_list)
61380/61370    5.593    0.000   23.794    0.000 {built-in method nt.scandir}
     9210    4.999    0.001   19.493    0.002 {built-in method repaint}
       12    0.002    0.000   18.414    1.535 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:679(is_save_corrupted)
5663/5656    0.206    0.000   18.066    0.003 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
