         369853732 function calls (355746304 primitive calls) in 1426.513 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
20450/13441    1.821    0.000 3694.981    0.275 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:180(get)
       33    0.198    0.006 2383.099   72.215 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:280(iter_changes)
      804    0.069    0.000 1440.946    1.792 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
    13/10    0.202    0.016 1428.098  142.810 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
      8/6    0.000    0.000 1428.098  238.016 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
      3/2    0.001    0.000 1410.631  705.316 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:159(_terminate_broken)
     6936    0.865    0.000 1097.638    0.158 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1768(process_internal_commands)
      5/2    0.001    0.000  914.345  457.172 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
170353/803   28.377    0.000  913.464    1.138 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
      3/2    0.001    0.000  890.297  445.149 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:505(terminate_broken)
       33    0.001    0.000  887.572   26.896 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:590(do_it)
       33    0.000    0.000  887.506   26.894 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:562(do_it)
       33    0.073    0.002  887.498   26.894 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:605(internal_reload_code)
       33    0.011    0.000  886.532   26.865 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:161(xreload)
       33    0.011    0.000  886.214   26.855 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:208(apply)
      149    0.002    0.000  884.355    5.935 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:107(send)
      298    0.054    0.000  884.349    2.968 {method 'sendall' of '_socket.socket' objects}
      5/4    0.000    0.000  525.988  131.497 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:212(_finalize_join)
14884/10361    1.261    0.000  376.583    0.036 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
28535/6974    3.453    0.000  364.734    0.052 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
     6333    0.396    0.000  260.218    0.041 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:182(send_bytes)
     6333    0.691    0.000  170.841    0.027 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:284(_send_bytes)
    11/10    0.001    0.000  145.974   14.597 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:635(on_open_resources)
     10/9    0.000    0.000  145.899   16.211 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:410(on_resource_double_clicked)
   183217    4.136    0.000  136.357    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:828(accept_directory)
  1241147    6.313    0.000  132.203    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:60(glob_matches_path)
14438195/1241147   41.618    0.000  120.890    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:28(_check_matches)
4096/4081  113.390    0.028  118.299    0.029 {built-in method time.sleep}
    11/10    0.009    0.001   44.420    4.442 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\functools.py:930(wrapper)
       10    0.005    0.001   43.837    4.384 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\utils\window.py:89(_)
  3907250    6.124    0.000   41.422    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:19(fnmatch)
    12526    0.076    0.000   29.314    0.002 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\settings.py:46(getter)
 14438195   13.098    0.000   29.313    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:233(has_magic)
  7822681   12.670    0.000   27.621    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:50(normcase)
        2    0.000    0.000   21.966   10.983 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:549(join_executor_internals)
        5    0.000    0.000   21.882    4.376 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:553(_join_executor_internals)
    61255    1.527    0.000   21.690    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:942(_poll_result_queue)
170031/170028   13.420    0.000   21.274    0.000 {built-in method nt.scandir}
63129996/63123813   20.472    0.000   20.474    0.000 {built-in method builtins.len}
        5    0.002    0.000   20.422    4.084 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:74(close)
 55533618   19.582    0.000   19.582    0.000 {method 'readline' of '_io.StringIO' objects}
     1298    0.030    0.000   19.318    0.015 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\model.py:323(moveZCameraControl)
 55698298   18.268    0.000   18.268    0.000 {method 'startswith' of 'str' objects}
       12    0.000    0.000   17.950    1.496 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:408(add_done_callback)
        1    0.000    0.000   17.950   17.950 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\update_manager.py:42(check_for_updates)
        1    0.000    0.000   17.949   17.949 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:646(__exit__)
     10/1    0.001    0.000   17.943   17.943 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1104(__call__)
     10/1    0.003    0.000   17.943   17.943 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
     10/1    0.030    0.003   17.943   17.943 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1027(_bootstrap_inner)
       10    0.002    0.000   17.768    1.777 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\utils\window.py:128(_open_resource_editor_impl)
    64727    5.673    0.000   17.162    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:132(get_nowait)
     1992    0.003    0.000   13.528    0.007 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:157(_get_cached_or_load)
 14441652   12.866    0.000   12.866    0.000 {method 'search' of 're.Pattern' objects}
     4649    0.262    0.000   12.768    0.003 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\model.py:81(paintGL)
     5499    0.407    0.000   12.745    0.002 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:46(render)
     5555    0.197    0.000   12.676    0.002 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:106(wheelEvent)
      238    0.014    0.000   11.576    0.049 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:353(_build_resource_list)
    64727    0.706    0.000   11.237    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:96(get)
     2681    0.188    0.000   10.288    0.004 {function RobustAbstractItemView.wheelEvent at 0x000001EE72FC0D10}
     1430    0.110    0.000    9.923    0.007 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:885(queue_load_visible_icons)
        2    0.000    0.000    9.688    4.844 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:336(run)
        1    0.000    0.000    9.687    9.687 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1080(<lambda>)
        1    0.000    0.000    9.686    9.686 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1066(prepare_task)
     1430    4.488    0.003    9.405    0.007 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:712(visible_indexes)
64770/64767    0.231    0.000    9.159    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:253(poll)
      337    0.005    0.000    9.091    0.027 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:444(__init__)
64770/64767    0.715    0.000    8.650    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:342(_poll)
     28/9    0.013    0.000    8.563    0.951 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
  7456247    8.006    0.000    8.006    0.000 {built-in method _winapi.LCMapStringEx}
    58654    0.461    0.000    7.904    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:80(__init__)
  3907250    4.173    0.000    7.762    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:64(fnmatchcase)
 28921825    7.591    0.000    7.592    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_file_utils.py:342(normcase)
      337    0.004    0.000    7.395    0.022 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:598(reload)
       14    0.000    0.000    6.424    0.459 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:209(_modules)
  280/260    0.017    0.000    6.311    0.024 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        1    0.001    0.001    6.288    6.288 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:213(<lambda>)
5525/5499    0.049    0.000    6.282    0.001 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:174(_render_object)
     6333    3.055    0.000    6.107    0.001 {built-in method _winapi.WriteFile}
      337    0.013    0.000    6.011    0.018 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:207(resources)
        4    0.000    0.000    5.834    1.459 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\model.py:64(initializeGL)
     5525    0.016    0.000    5.714    0.001 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:41(draw)
 23622601    5.488    0.000    5.564    0.000 {built-in method builtins.isinstance}
       20    0.005    0.000    5.511    0.276 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene_base.py:213(load_2da)
 10184884    5.504    0.000    5.504    0.000 {method 'replace' of 'str' objects}
        1    0.001    0.001    5.385    5.385 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:947(core_resources)
