         39622936 function calls (39075402 primitive calls) in 4174.775 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   38.750   38.750 4260.525 4260.525 {built-in method exec}
    50/19 3805.989   76.120 4191.933  220.628 {method 'acquire' of '_thread.lock' objects}
      5/4    0.000    0.000 4191.932 1047.983 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
    96781    1.397    0.000  201.481    0.002 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\indoor_builder.py:1085(_loop)
    32964   33.881    0.001  193.569    0.006 {built-in method repaint}
    33082    5.377    0.000  160.883    0.005 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\indoor_builder.py:1454(paintEvent)
    65966    1.782    0.000  126.269    0.002 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\indoor_builder.py:1331(_draw_image)
    65970  122.498    0.002  122.498    0.002 {built-in method drawImage}
        1    0.040    0.040   72.795   72.795 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\indoor_builder.py:642(build_map)
   258244    4.377    0.000   42.492    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:940(_poll_result_queue)
   258244    0.915    0.000   38.047    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:132(get_nowait)
   258244    3.175    0.000   37.131    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:96(get)
   258251    0.929    0.000   32.242    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:253(poll)
        1    0.000    0.000   31.029   31.029 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1312(open_indoor_map_builder)
        1    0.020    0.020   30.973   30.973 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\indoor_builder.py:275(__init__)
