         223827484 function calls (204925741 primitive calls) in 3965.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
61224/3974   33.942    0.001 1451.508    0.365 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
     1197    0.154    0.000 1023.592    0.855 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
   262846   17.252    0.000  720.286    0.003 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:828(accept_directory)
  1780657   31.192    0.000  640.007    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:60(glob_matches_path)
43000/2248   16.868    0.000  592.735    0.264 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:180(get)
20227588/1780657  165.826    0.000  527.406    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:28(_check_matches)
244291/169863   84.373    0.000  374.010    0.002 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
    14272    5.921    0.000  307.533    0.022 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1768(process_internal_commands)
       24    0.295    0.012  270.860   11.286 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:280(iter_changes)
  5467590   25.338    0.000  165.293    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:19(fnmatch)
     8150  123.894    0.015  128.307    0.016 {built-in method time.sleep}
 20227588   51.177    0.000  116.465    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:233(has_magic)
 10936468   50.095    0.000  105.666    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:50(normcase)
        1    0.000    0.000   94.415   94.415 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\update_manager.py:42(check_for_updates)
        1    0.000    0.000   94.413   94.413 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:646(__exit__)
        1    0.000    0.000   94.242   94.242 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:837(shutdown)
      2/1    0.001    0.000   94.241   94.241 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1104(__call__)
      2/1    0.000    0.000   94.240   94.240 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
      2/1    0.000    0.000   94.240   94.240 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1027(_bootstrap_inner)
        1    0.000    0.000   94.240   94.240 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
        1    0.000    0.000   94.240   94.240 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:549(join_executor_internals)
        1    0.000    0.000   94.240   94.240 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:553(_join_executor_internals)
        2    0.000    0.000   93.125   46.562 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
        1    0.000    0.000   93.125   93.125 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
 20227604   72.272    0.000   72.272    0.000 {method 'search' of 're.Pattern' objects}
   243689   51.594    0.000   57.414    0.000 {built-in method nt.scandir}
 10410776   42.006    0.000   42.006    0.000 {built-in method _winapi.LCMapStringEx}
 40489851   41.086    0.000   41.099    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_file_utils.py:342(normcase)
    16875    0.482    0.000   34.994    0.002 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:314(can_exit)
  5467590   19.369    0.000   34.666    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:64(fnmatchcase)
 13972135   25.512    0.000   25.512    0.000 {method 'replace' of 'str' objects}
 30923960   23.887    0.000   23.887    0.000 {built-in method builtins.isinstance}
  5467644   20.347    0.000   20.347    0.000 {method 'match' of 're.Pattern' objects}
        3    0.024    0.008   17.522    5.841 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
  3561346   15.991    0.000   15.991    0.000 {method 'split' of 'str' objects}
  6302670   13.147    0.000   13.147    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
7249029/7249023   11.404    0.000   11.404    0.000 {built-in method builtins.len}
  6039824   10.333    0.000   10.333    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:853(accept_file)
       25    0.000    0.000    9.903    0.396 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:590(do_it)
       25    0.000    0.000    9.902    0.396 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:562(do_it)
       25    0.106    0.004    9.902    0.396 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:605(internal_reload_code)
      150    6.324    0.042    6.324    0.042 {built-in method builtins.compile}
 10936657    6.120    0.000    6.120    0.000 {built-in method nt.fspath}
       25    0.032    0.001    4.764    0.191 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:161(xreload)
31148/31147    2.958    0.000    4.745    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:108(new_threading_enumerate)
     11/9    0.000    0.000    4.129    0.459 <frozen importlib._bootstrap>:911(_load_unlocked)
     10/8    0.001    0.000    4.119    0.515 <frozen importlib._bootstrap_external>:1020(exec_module)
     14/8    0.000    0.000    3.817    0.477 <frozen importlib._bootstrap>:1349(_find_and_load)
     14/8    0.000    0.000    3.816    0.477 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
61224/61205    2.343    0.000    3.694    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:315(_acquire_restore)
245299/101 2841.119    0.012    3.226    0.032 {method 'acquire' of '_thread.lock' objects}
88475/88472    1.817    0.000    3.218    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:267(_qsize)
90123/90090    2.505    0.000    3.087    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:306(__exit__)
90149/90106    3.045    0.000    3.045    0.000 {method '__enter__' of '_thread.lock' objects}
        6    2.655    0.443    2.657    0.443 {built-in method show}
    61224    2.556    0.000    2.556    0.000 {method 'remove' of 'collections.deque' objects}
90124/90075    1.112    0.000    2.145    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:303(__enter__)
   383870    1.920    0.000    1.944    0.000 {built-in method builtins.getattr}
    16875    0.261    0.000    1.830    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1469(has_user_threads_alive)
    16875    0.315    0.000    1.779    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:438(empty)
61623/61618    0.881    0.000    1.747    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:318(_is_owned)
       25    0.006    0.000    1.728    0.069 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:208(apply)
    85836    1.513    0.000    1.513    0.000 {built-in method time.monotonic}
   179588    1.464    0.000    1.464    0.000 {method 'stat' of 'nt.DirEntry' objects}
    16875    1.180    0.000    1.386    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:115(empty)
6300/2000    0.046    0.000    1.349    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:278(_update)
    16876    0.201    0.000    1.285    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_utils.py:139(get_non_pydevd_threads)
 32624/10  116.262    0.004    1.282    0.128 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
       10    0.002    0.000    1.276    0.128 <frozen importlib._bootstrap_external>:1093(get_code)
    14994    0.924    0.000    1.260    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1712(notify_thread_created)
     3725    0.043    0.000    1.205    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:354(_update_function)
    31209    1.096    0.000    1.096    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.924    0.924    0.924    0.924 {built-in method setPriority}
    61264    0.906    0.000    0.906    0.000 {built-in method _thread.allocate_lock}
        1    0.825    0.825    0.825    0.825 {built-in method isNull}
     3725    0.272    0.000    0.811    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:149(code_objects_equal)
   152458    0.804    0.000    0.804    0.000 {method '__exit__' of '_thread.lock' objects}
    14278    0.631    0.000    0.765    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1429(current_thread)
61225/61221    0.493    0.000    0.744    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:312(_release_save)
    50/25    0.013    0.000    0.738    0.030 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:389(_update_class)
   179617    0.718    0.000    0.718    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.616    0.205 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1512(info)
        3    0.001    0.000    0.616    0.205 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1643(_log)
        3    0.000    0.000    0.615    0.205 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1669(handle)
        3    0.047    0.016    0.615    0.205 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1728(callHandlers)
    14272    0.238    0.000    0.603    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:631(clear)
        9    0.000    0.000    0.569    0.063 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1011(handle)
        6    0.000    0.000    0.554    0.092 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\handlers.py:71(emit)
    63/38    0.337    0.005    0.541    0.014 {built-in method builtins.__build_class__}
    29/15    0.000    0.000    0.535    0.036 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   243851    0.512    0.000    0.512    0.000 {method 'add' of 'set' objects}
        6    0.000    0.000    0.511    0.085 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1251(emit)
    14297    0.427    0.000    0.510    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1587(get_internal_queue_and_event)
      570    0.493    0.001    0.495    0.001 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\qtpy\QtGui.py:45(__getattr__)
        1    0.000    0.000    0.494    0.494 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:563(__init__)
        2    0.000    0.000    0.492    0.246 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:631(__init__)
        2    0.000    0.000    0.490    0.245 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:579(_check_system_limits)
    61314    0.468    0.000    0.468    0.000 {method 'release' of '_thread.lock' objects}
      5/3    0.000    0.000    0.453    0.151 {built-in method builtins.__import__}
    62331    0.420    0.000    0.420    0.000 {method 'values' of 'dict' objects}
      256    0.105    0.000    0.414    0.002 {method 'sendall' of '_socket.socket' objects}
    61412    0.412    0.000    0.412    0.000 {method 'append' of 'collections.deque' objects}
    14427    0.397    0.000    0.397    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:36(py_db)
      128    0.008    0.000    0.385    0.003 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:107(send)
       10    0.294    0.029    0.294    0.029 {built-in method _io.open_code}
       25    0.039    0.002    0.273    0.011 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\_pydev_execfile.py:2(execfile)
    14989    0.264    0.000    0.264    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:702(__enter__)
   196576    0.256    0.000    0.256    0.000 {method 'startswith' of 'str' objects}
       10    0.001    0.000    0.254    0.025 <frozen importlib._bootstrap_external>:1214(get_data)
        9    0.026    0.003    0.250    0.028 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1139(emit)
    31867    0.129    0.000    0.232    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_is_thread_alive.py:14(is_thread_alive)
    14313    0.227    0.000    0.227    0.000 {built-in method _thread.get_ident}
    30738    0.217    0.000    0.217    0.000 {built-in method time.time}
    35/33    0.002    0.000    0.213    0.006 {built-in method builtins.exec}
       25    0.003    0.000    0.196    0.008 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\typing.py:2998(__new__)
       25    0.001    0.000    0.192    0.008 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\typing.py:2979(_make_nmtuple)
     3725    0.190    0.000    0.190    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.185    0.092 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:749(_adjust_process_count)
        2    0.000    0.000    0.185    0.092 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:772(_spawn_process)
        2    0.000    0.000    0.185    0.092 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\process.py:110(start)
        2    0.005    0.003    0.185    0.092 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\context.py:334(_Popen)
      125    0.002    0.000    0.175    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\typing.py:173(_type_check)
      125    0.001    0.000    0.171    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\typing.py:164(_type_convert)
      125    0.000    0.000    0.170    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\typing.py:1023(__init__)
        4    0.154    0.039    0.154    0.039 {built-in method setSortingEnabled}
    31867    0.134    0.000    0.134    0.000 {method 'is_done' of '_thread._ThreadHandle' objects}
        1    0.070    0.070    0.123    0.123 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\common\style\theme_manager.py:48(get_available_themes)
        5    0.116    0.023    0.116    0.023 {built-in method addTab}
    14994    0.109    0.000    0.109    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:668(get_thread_id)
    31147    0.106    0.000    0.106    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1622(check_output_redirect)
       25    0.075    0.003    0.104    0.004 {method 'read' of '_io.TextIOWrapper' objects}
    16878    0.103    0.000    0.103    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1147(daemon)
    14280    0.098    0.000    0.098    0.000 {method 'keys' of 'dict' objects}
    36325    0.038    0.000    0.091    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_utils.py:284(getattr_checked)
        7    0.000    0.000    0.086    0.012 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\popen_spawn_win32.py:105(wait)
        2    0.000    0.000    0.086    0.043 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\process.py:142(join)
        7    0.085    0.012    0.085    0.012 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.081    0.081 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\uic\qtpy\widgets\texture_list.py:1(<module>)
      624    0.070    0.000    0.070    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
      544    0.049    0.000    0.070    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\qtpy\_utils.py:105(add_action)
        4    0.000    0.000    0.067    0.017 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:476(__init__)
   127379    0.066    0.000    0.066    0.000 {method 'lower' of 'str' objects}
        8    0.000    0.000    0.057    0.007 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
        8    0.000    0.000    0.056    0.007 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
        8    0.056    0.007    0.056    0.007 {built-in method _winapi.WaitForMultipleObjects}
    14274    0.049    0.000    0.050    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:648(get_current_thread_id)
        9    0.000    0.000    0.048    0.005 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1131(flush)
        2    0.048    0.024    0.048    0.024 {built-in method setProperty}
       10    0.044    0.004    0.045    0.005 {method 'read' of '_io.BufferedReader' objects}
        5    0.045    0.009    0.045    0.009 {built-in method setEditTriggers}
        9    0.045    0.005    0.045    0.005 {method 'flush' of '_io.TextIOWrapper' objects}
    35682    0.044    0.000    0.044    0.000 {method 'endswith' of 'str' objects}
        4    0.042    0.011    0.042    0.011 {built-in method setColumnCount}
        1    0.039    0.039    0.039    0.039 {built-in method families}
       26    0.004    0.000    0.037    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\tokenize.py:451(open)
      123    0.002    0.000    0.030    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_json.py:353(make_io_message)
       28    0.029    0.001    0.029    0.001 {built-in method _io.open}
       28    0.000    0.000    0.029    0.001 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\codecs.py:322(decode)
       28    0.029    0.001    0.029    0.001 {built-in method _codecs.utf_8_decode}
      128    0.004    0.000    0.028    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:58(__init__)
        1    0.019    0.019    0.027    0.027 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\common\style\theme_manager.py:2884(_apply_theme_and_style)
    14989    0.024    0.000    0.024    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:705(__exit__)
        1    0.000    0.000    0.024    0.024 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\warnings.py:97(_showwarnmsg)
        1    0.000    0.000    0.024    0.024 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.023    0.023 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:206(__init__)
        1    0.023    0.023    0.023    0.023 {built-in method selectionModel}
        1    0.000    0.000    0.022    0.022 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\warnings.py:118(_formatwarnmsg)
        1    0.000    0.000    0.022    0.022 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.022    0.022 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\linecache.py:22(getline)
        1    0.000    0.000    0.022    0.022 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\linecache.py:32(getlines)
       73    0.000    0.000    0.021    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:128(notify_info0)
       73    0.002    0.000    0.021    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_reload.py:114(write_err)
        1    0.000    0.000    0.021    0.021 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\linecache.py:102(updatecache)
        1    0.002    0.002    0.021    0.021 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:463(_setup_signals)
       14    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
       14    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1551(find_spec)
       14    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1522(_get_spec)
