         283563890 function calls (267605919 primitive calls) in 2120.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
26768/16990    8.709    0.000 3933.870    0.232 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:180(get)
20661/14496    6.232    0.000 2914.582    0.201 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
37680/12314    9.603    0.000 1621.636    0.132 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
       43    0.340    0.008  538.454   12.522 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:280(iter_changes)
      939    0.028    0.000  360.276    0.384 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
     9735   70.417    0.007  338.809    0.035 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1768(process_internal_commands)
   213279    8.454    0.000  286.622    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:828(accept_directory)
  1451568   13.929    0.000  277.192    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:60(glob_matches_path)
16917053/1451568   85.079    0.000  247.979    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:28(_check_matches)
198574/938   58.523    0.000  204.984    0.219 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
     5867  122.868    0.021  126.732    0.022 {built-in method time.sleep}
  4575772   12.287    0.000   83.417    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:19(fnmatch)
 16917053   26.182    0.000   58.463    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:233(has_magic)
  9250505   25.656    0.000   55.088    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:50(normcase)
 72773583   47.773    0.000   47.773    0.000 {method 'items' of 'dict' objects}
113390/113389    4.091    0.000   45.883    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:940(_poll_result_queue)
198129/198127   30.868    0.000   40.405    0.000 {built-in method nt.scandir}
   113464   13.304    0.000   39.287    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:132(get_nowait)
 16917276   27.562    0.000   27.562    0.000 {method 'search' of 're.Pattern' objects}
   113464    1.604    0.000   25.155    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:96(get)
   113471    0.716    0.000   21.774    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:253(poll)
