         806478707 function calls (773080661 primitive calls) in 1999.462 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
24271/15773   14.581    0.001 3112.324    0.197 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:180(get)
33767/16331    4.598    0.000 1647.945    0.101 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
       14    0.059    0.004 1289.649   92.118 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:280(iter_changes)
   969678    6.879    0.000 1141.904    0.001 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:277(_render_object)
6133/6132    0.847    0.000  859.410    0.140 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\module.py:396(paintGL)
17702/12389    9.693    0.001  821.795    0.066 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
   969951    1.539    0.000  750.648    0.001 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:41(draw)
18580430/969951   35.131    0.000  661.117    0.001 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:218(draw)
6125/6124    4.834    0.001  651.212    0.106 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:127(render)
  6394174  160.313    0.000  614.626    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:293(draw)
      913    0.024    0.000  391.318    0.429 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
20101/20100   34.143    0.002  362.619    0.018 {built-in method repaint}
4532/4531    0.715    0.000  340.189    0.075 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:209(_loop)
  6418732   18.621    0.000  267.579    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\shader\shader.py:171(set_matrix4)
195806/912   16.933    0.000  239.271    0.262 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
6446422/6446404   11.211    0.000  201.651    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\latebind.py:35(__call__)
  6443501   77.901    0.000  188.490    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\wrapper.py:782(wrapperCall)
   209054    5.026    0.000  156.356    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:828(accept_directory)
  1420926    7.530    0.000  150.804    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:60(glob_matches_path)
16225888/1420926   47.102    0.000  136.665    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_filtering.py:28(_check_matches)
5626/5620   58.631    0.010  113.266    0.020 {built-in method time.sleep}
     1468    0.419    0.000   99.767    0.068 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\common\module.py:1863(resource)
        1    0.000    0.000   81.469   81.469 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\module_designer.py:220(<lambda>)
195422/195420    9.705    0.000   67.555    0.000 {built-in method nt.scandir}
 12788348   15.223    0.000   67.411    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene_base.py:491(texture)
 12788348   46.475    0.000   63.186    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\shader\texture.py:157(use)
     6124    5.209    0.001   59.763    0.010 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene_cache.py:47(build_cache)
 44877454   49.104    0.000   53.609    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\error.py:208(glCheckError)
    22789    3.170    0.000   51.919    0.002 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\indoor_builder.py:1451(_loop)
  4370288    7.291    0.000   47.127    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:19(fnmatch)
 32201610   19.765    0.000   46.737    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\wrapper.py:506(calculate_pyArgs)
70471521/70464692   27.603    0.000   46.718    0.000 {built-in method builtins.isinstance}
      987    0.025    0.000   46.452    0.047 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:449(__init__)
 12844161   20.944    0.000   41.807    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\arrays\arraydatatype.py:133(from_param)
   338739    2.429    0.000   40.536    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:80(__init__)
      987    0.028    0.000   38.397    0.039 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:603(reload)
  6443501   12.651    0.000   38.359    0.000 {built-in method glm.value_ptr}
1966/1965  278.221    0.142   37.973    0.019 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1643(_log)
     1965    0.036    0.000   35.802    0.018 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1669(handle)
 32201022   29.030    0.000   34.203    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\wrapper.py:542(calculate_cArgs)
 16225996   14.673    0.000   32.979    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:233(has_magic)
    15604    2.149    0.000   31.687    0.002 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\indoor_builder.py:1967(paintEvent)
  8844365   14.494    0.000   31.430    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:50(normcase)
  3160500    3.958    0.000   30.463    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\generics\git.py:297(__hash__)
     1965    0.022    0.000   29.599    0.015 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1728(callHandlers)
      987    0.060    0.000   28.869    0.029 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:207(resources)
     5196    0.035    0.000   28.845    0.006 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1011(handle)
 19291424   19.736    0.000   28.687    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\arrays\arraydatatype.py:36(__call__)
     3231    0.097    0.000   26.901    0.008 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\handlers.py:71(emit)
      699    0.018    0.000   26.868    0.038 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1500(debug)
     4487    5.076    0.001   26.788    0.006 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:526(paintEvent)
 13750650   18.047    0.000   26.433    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\more_collections.py:228(__getitem__)
  1671852    2.826    0.000   26.119    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:237(_is_object_visible)
      755    0.008    0.000   25.977    0.034 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\type.py:49(_autoclose)
  6443647   25.709    0.000   25.709    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ctypes\__init__.py:530(cast)
  6443501    4.370    0.000   25.154    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\converters.py:156(__call__)
     3231    0.014    0.000   24.440    0.008 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1251(emit)
  1671852    5.209    0.000   22.965    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene_cache.py:299(_del_git_objects)
      124    0.008    0.000   22.303    0.180 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\tpc\tpc_auto.py:74(read_tpc)
 13760548   14.448    0.000   21.177    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\more_collections.py:251(__contains__)
    27322    1.913    0.000   21.008    0.001 {singleShot}
      162    0.022    0.000   20.891    0.129 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
  6445412    9.763    0.000   20.794    0.000 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\OpenGL\arrays\arraydatatype.py:169(asArray)
       90    0.010    0.000   20.708    0.230 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\tpc\io_tga.py:167(load)
