         229939636 function calls (225127987 primitive calls) in 524.336 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1  104.317  104.317  517.466  517.466 {built-in method exec}
      177    0.006    0.000  239.742    1.354 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
18217/11434   92.145    0.005  236.381    0.021 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
1614/1613    0.050    0.000  157.690    0.098 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\module.py:396(paintGL)
1606/1605    0.838    0.001  145.704    0.091 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:127(render)
   233718    0.814    0.000  129.102    0.001 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\scene\scene.py:277(_render_object)
   234264    0.175    0.000  120.801    0.001 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:41(draw)
4845627/234264    4.976    0.000  120.094    0.001 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:218(draw)
  1666027   24.521    0.000  117.085    0.000 G:\GitHub\PyKotor\Libraries\PyKotorGL\src\pykotor\gl\models\mdl.py:293(draw)
        1    0.000    0.000  115.724  115.724 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\module_designer.py:220(<lambda>)
        1    0.006    0.006  115.724  115.724 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\module_designer.py:491(open_module)
15297/15296   19.475    0.001  107.994    0.007 {built-in method repaint}
     6850    0.038    0.000   77.016    0.011 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\module.py:450(loop)
        1    0.009    0.009   70.353   70.353 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\blender\integration.py:382(check_blender_and_ask)
        1    0.000    0.000   70.263   70.263 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\blender_choice.py:423(show_blender_choice_dialog)
        1   58.218   58.218   69.825   69.825 {built-in method exec_}
