         159542 function calls (158014 primitive calls) in 348.460 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1  343.140  343.140  344.294  344.294 {built-in method exec}
        1    0.000    0.000    3.425    3.425 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\update_manager.py:42(check_for_updates)
        1    0.000    0.000    3.423    3.423 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:646(__exit__)
        1    0.000    0.000    3.407    3.407 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:837(shutdown)
      2/1    0.000    0.000    3.407    3.407 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1058(join)
      2/1    0.001    0.000    3.407    3.407 {method 'join' of '_thread._ThreadHandle' objects}
      2/1    0.000    0.000    3.407    3.407 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
      2/1    0.000    0.000    3.407    3.407 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1027(_bootstrap_inner)
        1    0.000    0.000    3.406    3.406 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
        1    0.000    0.000    3.406    3.406 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:549(join_executor_internals)
        1    0.000    0.000    3.406    3.406 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:553(_join_executor_internals)
        1    0.000    0.000    3.037    3.037 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
        4    0.000    0.000    3.037    0.759 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
        1    0.000    0.000    3.036    3.036 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:212(_finalize_join)
        4    0.000    0.000    3.024    0.756 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
        9    0.000    0.000    3.023    0.336 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
        9    0.000    0.000    3.022    0.336 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
       11    3.022    0.275    3.022    0.275 {built-in method _winapi.WaitForMultipleObjects}
        1    0.000    0.000    1.060    1.060 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\kotordiff.py:381(_run_diff)
        1    1.059    1.059    1.060    1.060 {warning}
        1    0.000    0.000    0.624    0.624 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:206(__init__)
       10    0.593    0.059    0.594    0.059 {built-in method show}
        1    0.000    0.000    0.496    0.496 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:422(_initUi)
        1    0.005    0.005    0.491    0.491 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\uic\qtpy\windows\main.py:15(setupUi)
        4    0.001    0.000    0.465    0.116 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:85(__init__)
        4    0.018    0.004    0.459    0.115 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\uic\qtpy\widgets\resource_list.py:17(setupUi)
        4    0.001    0.000    0.438    0.110 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\treeview.py:26(__init__)
        5    0.000    0.000    0.437    0.087 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:22(__init__)
        8    0.000    0.000    0.437    0.055 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:60(_fix_drawer_button)
        7    0.000    0.000    0.369    0.053 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\popen_spawn_win32.py:105(wait)
        2    0.000    0.000    0.369    0.185 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\process.py:142(join)
        7    0.369    0.053    0.369    0.053 {built-in method _winapi.WaitForSingleObject}
        1    0.005    0.005    0.119    0.119 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:463(_setup_signals)
        1    0.049    0.049    0.086    0.086 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\common\style\theme_manager.py:48(get_available_themes)
        2    0.000    0.000    0.069    0.035 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1481(open_kotordiff)
   126118    0.035    0.000    0.035    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.028    0.014 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:749(_adjust_process_count)
